"wordform","sum_freq","norm_freq","log_freq","sqrt_freq","bcLambda_0.0","bcLambda_0.1","bcLambda_0.2","bcLambda_0.3","bcLambda_0.4","bcLambda_0.5","bcLambda_0.6","bcLambda_0.7","bcLambda_0.8","bcLambda_0.9","bcLambda_1.0","Moby_pron","Rep_P","Rep_O","sem_1","sem_2","sem_3","sem_4","sem_5","sem_6","sem_7","sem_8","sem_9","sem_10","sem_11","sem_12","sem_13","sem_14","sem_15","sem_16","sem_17","sem_18","sem_19","sem_20","sem_21","sem_22","sem_23","sem_24","sem_25","sem_26","sem_27","sem_28","sem_29","sem_30","sem_31","sem_32","sem_33","sem_34","sem_35","sem_36","sem_37","sem_38","sem_39","sem_40","sem_41","sem_42","sem_43","sem_44","sem_45","sem_46","sem_47","sem_48","sem_49","sem_50","sem_1_ori","sem_2_ori","sem_3_ori","sem_4_ori","sem_5_ori","sem_6_ori","sem_7_ori","sem_8_ori","sem_9_ori","sem_10_ori","sem_11_ori","sem_12_ori","sem_13_ori","sem_14_ori","sem_15_ori","sem_16_ori","sem_17_ori","sem_18_ori","sem_19_ori","sem_20_ori","sem_21_ori","sem_22_ori","sem_23_ori","sem_24_ori","sem_25_ori","sem_26_ori","sem_27_ori","sem_28_ori","sem_29_ori","sem_30_ori","sem_31_ori","sem_32_ori","sem_33_ori","sem_34_ori","sem_35_ori","sem_36_ori","sem_37_ori","sem_38_ori","sem_39_ori","sem_40_ori","sem_41_ori","sem_42_ori","sem_43_ori","sem_44_ori","sem_45_ori","sem_46_ori","sem_47_ori","sem_48_ori","sem_49_ori","sem_50_ori"
"a",10327445,22949.87778,0.918641309,1000,16.15031547,40.28046542,121.4062601,420.3843728,1595.35426,6425.268471,26928.83751,116062.4243,510626.3975,2282185.18,10327444,"/eI/","_/_/_/e/_/_/_/","_/_/_/a/_/_/_/_/",1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0.21705,0.46515,-0.46757,0.10082,1.0135,0.74845,-0.53104,-0.26256,0.16812,0.13182,-0.24909,-0.44185,-0.21739,0.51004,0.13448,-0.43141,-0.03123,0.20674,-0.78138,-0.20148,-0.097401,0.16088,-0.61836,-0.18504,-0.12461,-2.2526,-0.22321,0.5043,0.32257,0.15313,3.9636,-0.71365,-0.67012,0.28388,0.21738,0.14433,0.25926,0.23434,0.4274,-0.44451,0.13813,0.36973,-0.64289,0.024142,-0.039315,-0.26037,0.12017,-0.043782,0.41013,0.1796
"abuse",27156,60.34666667,0.376614131,164.7907764,10.2093533,17.75789828,33.52504586,67.95828695,145.9179158,327.5815529,760.7076018,1812.449205,4404.325548,10869.06826,27155,"/@/b/ju/z","_/_/_/^/b/j/z/","_/_/_/a/b/u/s/e/",1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0.27935,-0.094582,-0.81328,-0.51345,0.09245,0.89141,0.87998,-0.20235,0.65772,0.2521,-0.3525,0.11264,-0.39444,-1.1474,1.3963,-0.76728,-0.88335,-0.25955,0.3862,0.24429,-0.30307,0.81105,0.19347,0.20834,-0.74998,-2.0488,0.46707,-0.30501,0.23822,0.24885,2.2957,-0.0035739,0.14947,-1.9006,-0.61638,0.85554,0.068752,-1.3169,0.38996,-0.33758,-0.37278,0.31684,0.57165,1.4761,0.82761,-0.19294,-0.27065,0.26455,0.23523,-0.24849
"ace",2930,6.511111111,0.184474906,54.12947441,7.982757702,12.21706891,19.67990754,33.22101377,58.40978364,106.2589488,198.7663772,380.2601211,740.7503486,1464.2287,2929,"/eI/s","_/_/_/e/s/_/_/","_/_/_/a/c/e/_/_/",0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,-0.36279,-0.26493,0.035465,0.87244,0.22704,-0.087591,-0.4729,0.53455,0.35307,0.21198,0.56667,0.7646,-0.70388,1.2734,0.013369,-1.1611,-0.21674,-0.11492,-1.6541,-0.021784,-0.78053,-0.64155,-0.25348,-0.20367,-0.024439,-0.8481,-0.12862,-0.98187,-0.15309,-0.35632,1.5093,-0.19798,0.28935,1.1875,0.22096,0.3811,0.5122,0.37068,0.12131,-0.38594,0.48793,0.11357,-0.24978,0.27272,0.41378,-0.1881,0.4244,-0.44793,-0.40583,0.58461
"ache",1945,4.322222222,0.152957974,44.10215414,7.573017256,11.32514342,17.73808709,28.99286454,49.20206043,86.20430828,155.0807937,285.0853204,533.3706105,1012.298773,1944,"/eI/k","_/_/_/e/k/_/_/","_/_/_/a/c/h/e/_/",1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0.69949,-0.60929,-1.0426,-0.78333,0.098915,0.53807,1.4123,0.99313,0.45126,0.25921,0.42857,-0.03283,-0.30553,-0.36846,-0.085164,0.57158,-0.34379,0.23276,0.61612,0.1401,-1.1624,0.12244,0.85775,0.14386,0.075806,0.0089343,-1.0433,1.0653,0.22058,-0.4174,0.56586,1.1196,0.94254,0.98655,-0.6028,0.31774,0.31134,-0.33075,1.3331,-0.39668,-0.29203,-0.32865,-1.2975,0.56891,0.45038,0.24842,0.54423,-0.37037,-0.506,0.034219
"act",74115,164.7,0.467520102,272.2407023,11.21337322,20.68955642,42.09244367,93.01641379,219.269825,542.4814046,1390.824399,3661.565696,9835.12106,26832.1213,74114,"/&/kt","_/_/_/@/k/t/_/","_/_/_/a/c/t/_/_/",0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,-0.60647,-0.65705,-1.1819,-0.61002,-0.19796,0.85236,0.53328,-0.35247,0.29678,-0.15212,-0.10147,1.0206,0.13317,-0.025112,0.19626,-0.055486,0.45557,-0.30135,-0.070918,-0.019757,1.0181,-0.10467,0.14572,-0.28666,-0.3157,-1.6753,-0.12545,-0.75193,0.90285,0.022854,2.8947,-0.3003,-1.2697,-1.2543,-0.31494,-0.029234,1.1512,-1.0527,-0.60098,-0.16668,-0.79989,-0.69381,0.37469,-0.017377,-0.88246,0.2576,-0.98379,-0.55932,0.58823,0.73753
"ad",12066,26.81333333,0.304244798,109.8453458,9.398146859,15.59507062,27.75538199,52.55842101,104.7915049,217.6906917,466.9165639,1026.578932,2301.043407,5236.876651,12065,"/&/d","_/_/_/@/d/_/_/","_/_/_/a/d/_/_/_/",1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0.73545,-0.20366,0.84343,-0.59992,-0.029382,-0.64087,-0.17108,-1.5986,-0.23101,-0.16333,-1.4244,-0.22149,-0.42748,-0.92007,0.28848,-0.60219,-1.0145,-0.13866,-0.37326,0.57086,0.32476,-0.86213,0.70783,0.54014,-0.12654,-1.2655,-1.4601,-0.44288,-0.11567,0.097889,1.9467,-0.2031,-0.004633,0.80292,-0.58338,-0.72682,-0.010253,0.30922,-1.1871,0.15144,0.92496,0.075286,-0.51925,0.56618,-0.23956,0.35246,-0.17862,-0.11133,-0.20317,0.82998
"add",58145,129.2111111,0.445469492,241.1327435,10.97069517,19.95375253,39.86136454,86.25108078,198.7542028,480.2654871,1202.138421,3089.29826,8099.400832,21567.32359,58144,"/&/d","_/_/_/@/d/_/_/","_/_/_/a/d/d/_/_/",1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,-0.036357,0.42248,0.27717,0.14691,0.35807,0.06156,0.39441,0.010002,-0.30152,-0.0087426,-0.54221,0.31122,0.74674,-0.23517,0.49923,0.27852,-0.036482,-0.12422,0.029518,-1.5151,0.63003,-0.74365,0.96342,0.050668,-0.46258,-0.45351,0.11858,0.24039,1.1876,-0.094542,3.1376,0.79301,-0.59588,0.3255,0.054482,0.53491,-0.57413,0.41514,0.57573,-1.0634,0.91027,0.26649,0.29273,-0.16458,0.16901,1.4775,0.6804,0.52965,-0.31212,0.4268
"adze",24,0.053333333,0.05,4.898979486,3.17805383,3.741088103,4.440875113,5.315193113,6.41301229,7.797958971,9.552884788,11.785901,14.63835762,18.29540638,23,"/&/dz","_/_/_/@/d/z/_/","_/_/_/a/d/z/e/_/",0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,-0.89711,-0.65057,0.072002,-0.75545,0.55084,0.81813,0.91604,-0.50643,0.12264,-0.33219,-0.26725,-0.074028,0.47259,0.85749,-0.7989,-0.38915,0.49738,0.47676,0.4027,0.48718,0.35548,-0.36549,-0.46214,0.066453,0.34248,0.36659,0.18251,0.16313,-0.15389,-0.10624,-0.52521,-0.9642,0.75874,0.60657,-0.70477,1.0497,0.16222,-0.29078,-0.13405,0.2343,0.51337,0.11998,-0.56571,0.56887,0.61523,-0.61692,0.63446,0.68791,-0.13754,-0.47388
"aft",1452,3.226666667,0.131872068,38.10511777,7.280697195,10.71078983,16.44684078,26.27873413,43.49669794,74.21023553,129.8645143,232.0669696,421.8892443,777.8709297,1451,"/&/ft","_/_/_/@/f/t/_/","_/_/_/a/f/t/_/_/",1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0.59981,0.82182,1.2739,-1.2582,-0.1247,1.0571,0.57877,0.054882,-0.62175,-1.6462,-0.16837,0.35546,-0.55192,1.0949,-2.0899,-0.21563,-0.5984,0.50488,-0.025441,-0.77477,0.054603,-0.16973,-0.25807,-0.36711,-0.32545,-0.20716,1.0607,1.3473,0.16213,-0.28899,0.7559,0.083599,0.49753,-0.19762,0.025403,0.27442,0.87338,-0.56963,0.15924,0.13284,0.81387,-0.8829,0.44694,-0.022163,-1.1744,-0.31579,0.30296,-0.51255,0.22244,-0.30593
"age",106190,235.9777778,0.500253364,325.8680715,11.57298522,21.81327372,45.60421923,103.9923918,253.5787003,649.7361429,1726.155025,4710.085522,13114.01015,37086.8321,106189,"/eI/dZ/","_/_/_/e/J/_/_/","_/_/_/a/g/e/_/_/",0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,-0.4385,1.1905,-0.11631,-0.95942,0.45889,1.415,-0.67604,-0.84342,-0.7357,0.28724,0.64751,-0.36217,0.11489,-0.34018,1.1601,0.27203,-0.45293,0.20521,-0.80958,0.55343,-0.21324,0.91777,0.6683,0.055886,0.39708,-0.89999,-1.1099,-0.91207,0.34395,0.44252,2.944,0.25974,0.24117,-0.65958,0.7578,-0.13787,0.19865,0.25054,0.4246,-0.1881,-1.0105,-0.49458,0.56892,0.75452,-0.47241,-0.43876,0.13308,-0.91405,-0.086182,-0.17988
"ah",11417,25.37111111,0.299373392,106.8503627,9.342858752,15.45395079,27.39518053,51.63902207,102.4447722,211.7007253,451.6273121,987.5533681,2201.431042,4982.61643,11416,"/A/","_/_/_/a/_/_/_/","_/_/_/a/h/_/_/_/",1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0.77953,1.6613,1.2843,-0.77758,-0.34412,-1.7979,0.31161,-1.0011,-1.023,1.4942,-0.24804,0.5348,-0.23366,0.2657,-0.16706,1.736,0.22062,-1.4729,0.81613,2.343,-1.3125,0.38076,1.5253,-0.41573,-0.46593,-0.72221,-1.4166,0.39376,-0.31857,0.18374,0.36341,0.51679,-0.9361,1.6142,1.3882,-0.81547,0.65442,0.14602,1.2209,0.52385,-0.62344,1.4532,-0.32485,-0.65094,0.33339,-0.46686,0.14436,-0.93336,0.89171,0.23125
"aid",29013,64.47333333,0.382570192,170.3320287,10.27549928,17.94211423,34.03808739,69.38711315,149.8972267,338.6640574,791.5728339,1898.410463,4643.732942,11535.83502,29012,"/eI/d","_/_/_/e/d/_/_/","_/_/_/a/i/d/_/_/",1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1.1367,-0.22735,0.50183,-0.96386,-0.12277,0.23479,-0.30741,0.094688,1.2514,-0.18783,0.12542,-0.027147,0.52966,-0.37436,0.29898,-0.24385,0.30238,-0.072848,0.83845,0.099687,0.54771,0.41751,-0.19871,-0.61071,-0.19851,-1.3706,0.75896,-0.54436,-0.11185,0.11864,3.5027,0.9574,-0.72779,0.35359,-0.28606,0.71207,-0.09076,-0.55552,0.14108,-0.21862,-0.08636,0.39208,1.0878,-1.2335,0.053736,-0.036232,-0.73775,1.1808,-0.43709,-0.26197
"aide",5754,12.78666667,0.24003727,75.85512507,8.657650544,13.7682379,23.24645665,41.42456676,77.2862313,149.7102501,298.8237765,610.7538576,1271.918541,2688.753135,5753,"/eI/d","_/_/_/e/d/_/_/","_/_/_/a/i/d/e/_/",1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0.18175,1.0809,0.72479,0.032147,0.82153,0.057525,-0.15132,0.59435,-0.65593,-1.1563,-1.308,-0.016639,-0.82886,0.37265,0.10031,-0.32249,-0.38689,-0.19141,1.1949,0.30597,-0.10503,0.90356,0.25393,-0.36193,-0.26184,-2.0978,0.75077,0.35829,-0.5315,0.99448,1.0368,-0.69912,-1.1169,-0.54045,0.042423,0.014503,-0.10117,0.32265,0.19186,0.0016948,0.19907,1.2552,-0.85232,-0.25979,0.40012,-1.0193,-0.99545,0.53088,0.29643,0.96782
