_/_/n/a/t/_/_/,"[['knot', 'naught', 'not', 'nought']]"
_/_/k/@/S/_/_/,"[['cache', 'cash']]"
_/_/t/a/t/_/_/,"[['taught', 'taut', 'tot']]"
_/_/t/u/_/_/_/,"[['to', 'too', 'two']]"
_/_/v/e/n/_/_/,"[['vain', 'vane', 'vein']]"
_/_/j/a/n/_/_/,"[['yawn', 'yon']]"
_/g/r/e/t/_/_/,"[['grate', 'great']]"
_/_/f/o/r/T/_/,"[['forth', 'fourth']]"
_/_/C/Y/l/d/_/,"[['child', 'childe']]"
_/_/t/Y/k/_/_/,"[['tike', 'tyke']]"
_/_/w/Y/l/_/_/,"[['while', 'wile']]"
_/_/g/I/l/t/_/,"[['gilt', 'guilt']]"
_/_/m/e/d/_/_/,"[['made', 'maid']]"
_/_/w/I/t/_/_/,"[['whit', 'wit']]"
_/_/m/@/t/_/_/,"[['mat', 'matte']]"
_/_/l/i/k/_/_/,"[['leak', 'leek']]"
_/_/_/o/k/_/_/,"[['oak', 'oke']]"
_/_/j/a/_/_/_/,"[['yah', 'yaw']]"
_/f/j/o/r/d/_/,"[['fiord', 'fjord']]"
_/_/w/^/r/l/_/,"[['whirl', 'whorl']]"
_/_/b/a/d/_/_/,"[['baud', 'bod']]"
_/f/l/o/_/_/_/,"[['floe', 'flow']]"
_/_/l/I/G/k/s/,"[['links', 'lynx']]"
_/t/r/^/s/t/_/,"[['trussed', 'trust']]"
_/_/w/Y/n/_/_/,"[['whine', 'wine']]"
_/s/t/@/f/_/_/,"[['staff', 'staph']]"
_/_/h/o/r/d/_/,"[['hoard', 'horde']]"
_/_/l/E/n/t/_/,"[['leant', 'lent']]"
_/b/l/a/k/_/_/,"[['bloc', 'block']]"
_/_/t/i/z/_/_/,"[['tease', 'tees']]"
_/_/s/i/m/_/_/,"[['seam', 'seem']]"
_/_/w/i/_/_/_/,"[['we', 'wee', 'whee']]"
_/_/C/i/p/_/_/,"[['cheap', 'cheep']]"
_/_/d/a/n/_/_/,"[['dawn', 'don']]"
_/_/w/E/t/_/_/,"[['wet', 'whet']]"
_/_/r/a/_/_/_/,"[['rah', 'raw']]"
_/s/p/E/k/_/_/,"[['spec', 'speck']]"
_/_/l/I/m/_/_/,"[['limb', 'limn']]"
_/_/b/i/C/_/_/,"[['beach', 'beech']]"
_/_/p/e/l/_/_/,"[['pail', 'pale']]"
_/_/p/i/r/_/_/,"[['peer', 'pier']]"
_/_/w/^/r/l/d/,"[['whorled', 'world']]"
_/_/g/I/l/d/_/,"[['gild', 'guild']]"
_/_/t/o/r/_/_/,"[['tore', 'torr', 'tour']]"
_/k/r/e/p/_/_/,"[['crape', 'crepe']]"
_/_/S/u/_/_/_/,"[['shoe', 'shoo']]"
_/k/r/a/k/_/_/,"[['croc', 'crock']]"
_/_/w/i/k/_/_/,"[['weak', 'week']]"
_/_/s/o/r/_/_/,"[['soar', 'sore']]"
_/p/l/^/m/_/_/,"[['plum', 'plumb']]"
_/_/w/I/g/_/_/,"[['whig', 'wig']]"
_/s/t/a/k/_/_/,"[['stalk', 'stock']]"
_/_/w/^/r/_/_/,"[['were', 'whir', 'whirr']]"
_/s/t/E/p/_/_/,"[['step', 'steppe']]"
_/_/r/I/G/_/_/,"[['ring', 'wring']]"
_/s/t/Y/l/_/_/,"[['stile', 'style']]"
_/_/b/e/_/_/_/,"[['bay', 'bey']]"
_/_/t/u/l/_/_/,"[['tool', 'tulle']]"
_/b/r/o/C/_/_/,"[['broach', 'brooch']]"
_/_/t/i/_/_/_/,"[['tea', 'tee']]"
_/_/r/E/s/t/_/,"[['rest', 'wrest']]"
_/_/w/E/r/_/_/,"[['wear', 'where']]"
_/_/J/E/l/_/_/,"[['gel', 'jell']]"
_/_/_/a/d/_/_/,"[['awed', 'odd']]"
_/_/k/^/r/d/_/,"[['curd', 'kurd']]"
_/_/l/E/d/_/_/,"[['lead', 'led']]"
_/_/_/I/f/_/_/,"[['if', 'iff']]"
_/k/r/i/k/_/_/,"[['creak', 'creek']]"
_/_/r/u/_/_/_/,"[['roux', 'rue']]"
_/_/w/o/_/_/_/,"[['whoa', 'wo', 'woe']]"
s/t/r/e/t/_/_/,"[['straight', 'strait']]"
_/_/f/a/n/_/_/,"[['faun', 'fawn']]"
_/_/w/a/p/_/_/,"[['whap', 'wop']]"
_/_/v/e/l/_/_/,"[['vale', 'veil']]"
_/s/l/o/_/_/_/,"[['sloe', 'slow']]"
_/_/k/o/r/_/_/,"[['core', 'corps']]"
_/s/t/^/r/_/_/,"[['stare', 'stir']]"
_/b/l/a/n/d/_/,"[['blond', 'blonde']]"
_/_/w/U/d/_/_/,"[['wood', 'would']]"
_/_/S/o/_/_/_/,"[['shew', 'show']]"
_/_/b/^/r/T/_/,"[['berth', 'birth']]"
_/_/d/Y/_/_/_/,"[['die', 'dye']]"
_/_/f/Y/l/_/_/,"[['faille', 'file']]"
_/_/k/W/_/_/_/,"[['cue', 'queue']]"
_/p/l/A/_/_/_/,"[['plough', 'plow']]"
_/_/m/o/r/n/_/,"[['morn', 'mourn']]"
_/_/n/o/r/_/_/,"[['knorr', 'nor']]"
_/_/n/i/d/_/_/,"[['knead', 'need']]"
_/_/r/Y/m/_/_/,"[['rhyme', 'rime']]"
_/_/r/i/d/_/_/,"[['read', 'reed']]"
_/_/m/o/l/d/_/,"[['mold', 'mould']]"
_/_/p/i/k/_/_/,"[['peak', 'peek', 'pique']]"
_/_/h/e/_/_/_/,"[['hay', 'hey']]"
_/_/k/u/_/_/_/,"[['coo', 'coup']]"
_/_/_/e/d/_/_/,"[['aid', 'aide']]"
_/_/_/A/r/_/_/,"[['hour', 'our']]"
_/_/b/e/l/_/_/,"[['bail', 'bale']]"
_/_/f/W/_/_/_/,"[['feu', 'few', 'phew']]"
_/f/l/i/_/_/_/,"[['flea', 'flee']]"
_/_/b/E/l/_/_/,"[['bell', 'belle']]"
_/k/l/o/z/_/_/,"[['close', 'clothes']]"
_/_/w/@/k/_/_/,"[['wack', 'whack']]"
_/_/w/i/l/d/_/,"[['wheeled', 'wield']]"
_/p/l/e/s/_/_/,"[['place', 'plaice']]"
_/_/h/a/_/_/_/,"[['ha', 'hah', 'haw']]"
_/_/r/a/t/_/_/,"[['rot', 'wrought']]"
_/_/n/u/_/_/_/,"[['knew', 'new']]"
_/_/t/Y/_/_/_/,"[['thai', 'tie']]"
_/_/r/i/k/_/_/,"[['reek', 'wreak']]"
_/_/f/i/t/_/_/,"[['feat', 'feet']]"
_/_/t/o/_/_/_/,"[['toe', 'tow']]"
_/_/d/@/m/_/_/,"[['dam', 'damn']]"
_/_/t/I/k/_/_/,"[['tic', 'tick']]"
_/_/b/i/_/_/_/,"[['be', 'bee']]"
_/_/m/o/t/_/_/,"[['moat', 'mote']]"
_/_/m/e/n/_/_/,"[['main', 'mane']]"
_/_/r/o/l/_/_/,"[['role', 'roll']]"
_/_/S/e/k/_/_/,"[['shake', 'sheikh']]"
_/k/l/@/k/_/_/,"[['clack', 'claque']]"
_/_/S/i/k/_/_/,"[['chic', 'sheik']]"
_/_/d/a/k/_/_/,"[['doc', 'dock']]"
_/_/r/o/t/_/_/,"[['rote', 'wrote']]"
_/_/m/a/s/k/_/,"[['masque', 'mosque']]"
_/_/l/o/n/_/_/,"[['loan', 'lone']]"
_/_/S/u/t/_/_/,"[['chute', 'shoot']]"
_/_/s/E/n/t/_/,"[['cent', 'scent', 'sent']]"
_/_/s/E/l/_/_/,"[['cell', 'sell']]"
_/_/b/Y/_/_/_/,"[['buy', 'by', 'bye']]"
_/_/h/W/_/_/_/,"[['hew', 'hue']]"
_/_/k/o/r/s/_/,"[['coarse', 'course']]"
_/_/m/e/l/_/_/,"[['mail', 'male']]"
_/_/p/i/l/_/_/,"[['peal', 'peel']]"
_/_/m/e/z/_/_/,"[['maize', 'maze']]"
_/_/w/^/n/_/_/,"[['one', 'won']]"
_/_/h/@/v/_/_/,"[['halve', 'have']]"
_/_/h/o/l/_/_/,"[['hole', 'whole']]"
_/_/n/e/_/_/_/,"[['nay', 'neigh']]"
_/_/_/Y/l/_/_/,"[['aisle', 'isle']]"
_/_/l/@/m/_/_/,"[['lam', 'lamb']]"
_/_/k/^/r/b/_/,"[['curb', 'kerb']]"
_/_/p/o/l/_/_/,"[['pole', 'poll']]"
_/_/m/W/z/_/_/,"[['mews', 'muse']]"
_/_/s/e/l/_/_/,"[['sail', 'sale']]"
_/_/n/I/t/_/_/,"[['knit', 'nit']]"
