S,freq,reg,image
blade,L,R,H
blunt,L,R,L
breast,L,E,H
blown,L,E,L
bill,H,R,H
best,H,R,L
blood,H,E,H
break,H,E,L
blister,L,R,H
blunder,L,R,L
boulder,L,E,H
broader,L,E,L
doctor,H,R,H
district,H,R,L
building,H,E,H
greatest,H,E,L
ditch,L,R,H
deed,L,R,L
dove,L,E,H
debt,L,E,L
dark,H,R,H
deal,H,R,L
dead,H,E,H
done,H,E,L
dump,L,R,H
dodge,L,R,L
dough,L,E,H
dread,L,E,L
black,H,R,H
bring,H,R,L
death,H,E,H
does,H,E,L
mirror,L,R,H
mercy,L,R,L
monarch,L,E,H
mischief,L,E,L
market,H,R,H
manner,H,R,L
money,H,E,H
measure,H,E,L
mustard,L,R,H
mister,L,R,L
monkey,L,E,H
nowhere,L,E,L
morning,H,R,H
method,H,R,L
mother,H,E,H
nothing,H,E,L
pepper,L,R,H
parry,L,R,L
treasure,L,E,H
twofold,L,E,L
picture,H,R,H
training,H,R,L
people,H,E,H
toward,H,E,L
pickle,L,R,H
pious,L,R,L
croquet,L,E,H
toughness,L,E,L
teacher,H,R,H
trying,H,R,L
police,H,E,H
trouble,H,E,L
sack,L,R,H
sane,L,R,L
sword,L,E,H
suave,L,E,L
saw,H,R,H
stay,H,R,L
foot,H,E,H
flow,H,E,L
scout,L,R,H
scorn,L,R,L
swamp,L,E,H
scarce,L,E,L
space,H,R,H
sense,H,R,L
steak,H,E,H
sure,H,E,L
weed,L,R,H
wisp,L,R,L
wealth,L,E,H
wont,L,E,L
wife,H,R,H
west,H,R,L
war,H,E,H
want,H,E,L
wick,L,R,H
yore,L,R,L
worm,L,E,H
wrath,L,E,L
write,H,R,H
wrong,H,R,L
watch,H,E,H
worth,H,E,L
